requirement_id,catalog_id,level,required_at_l2,chapter,section,applicable,status,rationale,evidence,owner_role,next_step
v5.0.0-1.3.7,V1.3.7,2,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.8,V1.3.8,2,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.9,V1.3.9,2,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.10,V1.3.10,2,YES,V1,Sanitization,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.3.11,V1.3.11,2,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.12,V1.3.12,3,NO,V1,Sanitization,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.4.1,V1.4.1,2,YES,V1,"Memory, String, and Unmanaged Code",REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.4.2,V1.4.2,2,YES,V1,"Memory, String, and Unmanaged Code",REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.4.3,V1.4.3,2,YES,V1,"Memory, String, and Unmanaged Code",REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.5.1,V1.5.1,1,YES,V1,Safe Deserialization,NO,N/A,No XML input deserialization in bot scope.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.5.2,V1.5.2,2,YES,V1,Safe Deserialization,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_delivery_assurance.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-1.5.3,V1.5.3,3,NO,V1,Safe Deserialization,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_delivery_assurance.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.1.1,V2.1.1,1,YES,V2,Validation and Business Logic Documentation,YES,VERIFIED_DOCUMENTATION,Concrete project policy and validation rules recorded; operational enforcement tracked separately.,docs/asvs_assurance.md,Security maintainer,Maintain policy and assign named owners before production.
v5.0.0-2.1.2,V2.1.2,2,YES,V2,Validation and Business Logic Documentation,YES,VERIFIED_DOCUMENTATION,Concrete project policy and validation rules recorded; operational enforcement tracked separately.,docs/asvs_assurance.md,Security maintainer,Maintain policy and assign named owners before production.
v5.0.0-2.1.3,V2.1.3,2,YES,V2,Validation and Business Logic Documentation,YES,VERIFIED_DOCUMENTATION,Concrete project policy and validation rules recorded; operational enforcement tracked separately.,docs/asvs_assurance.md,Security maintainer,Maintain policy and assign named owners before production.
v5.0.0-2.2.1,V2.2.1,1,YES,V2,Input Validation,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_delivery_assurance.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.2.2,V2.2.2,1,YES,V2,Input Validation,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_handlers_settings.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.2.3,V2.2.3,2,YES,V2,Input Validation,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_delivery_assurance.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.3.1,V2.3.1,1,YES,V2,Business Logic Security,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_durable_delivery_redis.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.3.2,V2.3.2,2,YES,V2,Business Logic Security,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_user_service.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.3.3,V2.3.3,2,YES,V2,Business Logic Security,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_durable_delivery_redis.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.3.4,V2.3.4,2,YES,V2,Business Logic Security,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_durable_delivery_redis.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.3.5,V2.3.5,3,NO,V2,Business Logic Security,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-2.4.1,V2.4.1,2,YES,V2,Anti-automation,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_throttling.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-2.4.2,V2.4.2,3,NO,V2,Anti-automation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-3.1.1,V3.1.1,3,NO,V3,Web Frontend Security Documentation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.2.1,V3.2.1,1,YES,V3,Unintended Content Interpretation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.2.2,V3.2.2,1,YES,V3,Unintended Content Interpretation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.2.3,V3.2.3,3,NO,V3,Unintended Content Interpretation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.3.1,V3.3.1,1,YES,V3,Cookie Setup,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.3.2,V3.3.2,2,YES,V3,Cookie Setup,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.3.3,V3.3.3,2,YES,V3,Cookie Setup,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.3.4,V3.3.4,2,YES,V3,Cookie Setup,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.3.5,V3.3.5,3,NO,V3,Cookie Setup,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.1,V3.4.1,1,YES,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.2,V3.4.2,1,YES,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.3,V3.4.3,2,YES,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.4,V3.4.4,2,YES,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.5,V3.4.5,2,YES,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.6,V3.4.6,2,YES,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.7,V3.4.7,3,NO,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.4.8,V3.4.8,3,NO,V3,Browser Security Mechanism Headers,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.1,V3.5.1,1,YES,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.2,V3.5.2,1,YES,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.3,V3.5.3,1,YES,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.4,V3.5.4,2,YES,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.5,V3.5.5,2,YES,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.6,V3.5.6,3,NO,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.7,V3.5.7,3,NO,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.5.8,V3.5.8,3,NO,V3,Browser Origin Separation,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.6.1,V3.6.1,3,NO,V3,External Resource Integrity,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.7.1,V3.7.1,2,YES,V3,Other Browser Security Considerations,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.7.2,V3.7.2,2,YES,V3,Other Browser Security Considerations,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.7.3,V3.7.3,3,NO,V3,Other Browser Security Considerations,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.7.4,V3.7.4,3,NO,V3,Other Browser Security Considerations,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-3.7.5,V3.7.5,3,NO,V3,Other Browser Security Considerations,NO,N/A,Bot application has no Web Frontend Security surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-4.1.1,V4.1.1,1,YES,V4,Generic Web Service Security,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.1.2,V4.1.2,2,YES,V4,Generic Web Service Security,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.1.3,V4.1.3,2,YES,V4,Generic Web Service Security,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.1.4,V4.1.4,3,NO,V4,Generic Web Service Security,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.1.5,V4.1.5,3,NO,V4,Generic Web Service Security,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.2.1,V4.2.1,2,YES,V4,HTTP Message Structure Validation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.2.2,V4.2.2,3,NO,V4,HTTP Message Structure Validation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.2.3,V4.2.3,3,NO,V4,HTTP Message Structure Validation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.2.4,V4.2.4,3,NO,V4,HTTP Message Structure Validation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.2.5,V4.2.5,3,NO,V4,HTTP Message Structure Validation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.3.1,V4.3.1,2,YES,V4,GraphQL,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.3.2,V4.3.2,2,YES,V4,GraphQL,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.4.1,V4.4.1,1,YES,V4,WebSocket,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.4.2,V4.4.2,2,YES,V4,WebSocket,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.4.3,V4.4.3,2,YES,V4,WebSocket,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-4.4.4,V4.4.4,2,YES,V4,WebSocket,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-5.1.1,V5.1.1,2,YES,V5,File Handling Documentation,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.2.1,V5.2.1,1,YES,V5,File Upload and Content,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.2.2,V5.2.2,1,YES,V5,File Upload and Content,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.2.3,V5.2.3,2,YES,V5,File Upload and Content,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.2.4,V5.2.4,3,NO,V5,File Upload and Content,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.2.5,V5.2.5,3,NO,V5,File Upload and Content,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.2.6,V5.2.6,3,NO,V5,File Upload and Content,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.3.1,V5.3.1,1,YES,V5,File Storage,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.3.2,V5.3.2,1,YES,V5,File Storage,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.3.3,V5.3.3,3,NO,V5,File Storage,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.4.1,V5.4.1,2,YES,V5,File Download,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.4.2,V5.4.2,2,YES,V5,File Download,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-5.4.3,V5.4.3,2,YES,V5,File Download,NO,N/A,Bot application has no File Handling surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-6.1.1,V6.1.1,1,YES,V6,Authentication Documentation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-6.1.2,V6.1.2,2,YES,V6,Authentication Documentation,NO,N/A,No local end-user password creation; Telegram identity provider.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-6.1.3,V6.1.3,2,YES,V6,Authentication Documentation,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-6.2.1,V6.2.1,1,YES,V6,Password Security,NO,N/A,Bot application has no Authentication surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-6.2.2,V6.2.2,1,YES,V6,Password Security,NO,N/A,Bot application has no Authentication surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-6.2.3,V6.2.3,1,YES,V6,Password Security,NO,N/A,Bot application has no Authentication surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-6.2.4,V6.2.4,1,YES,V6,Password Security,NO,N/A,Bot application has no Authentication surface for this requirement; external Telegram/Grafana responsibilities require separate assurance.,docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
